num_users,knn_k,num_frames,episodes,final_episode_steps,final_total_episode_reward,final_mean_episode_reward,test_score_mean,test_score_std,total_data_rate,ma_data_rate,vlc_data_rate,average_latency,total_power,total_channel,total_bandwidth,ma_power_efficiency,vlc_power_efficiency
50,4,100000,500,200,20.5838,0.102919,20.48642,1.0976382161714344,1253.3347698830157,763.192733472,490.142036411015,4.327710486028883,63815.6796875,430.015,3414.550000000001,0.024052569642663002,0.015423749671048679
150,4,100000,500,200,35.794999999999995,0.17897499999999997,35.55382000000001,2.2344331857542827,2855.129301952722,1527.0725465280038,1328.056755424716,33.719837531827736,57815.6484375,607.12,5185.600000000001,0.05210309848189354,0.04903362939952266
200,4,100000,500,200,50.13919999999999,0.2506959999999999,51.98470000000002,1.1556857877468307,2330.1480448477623,481.7954727360001,1848.3525721117603,72.84592553737257,29190.60546875,633.69,5451.3,1.685029149055481,0.06587499602164432
