k,episodes,final_total_reward,final_mean_reward,final_steps,final_total_data_rate,final_ma_data_rate,final_vlc_data_rate,final_total_power,final_total_ma_power,final_total_vlc_power,final_total_channel,final_total_ma_channel,final_total_vlc_channel,final_total_bandwidth,final_total_ma_bandwidth,final_total_vlc_bandwidth,final_total_assigned_ma_bandwidth,final_total_assigned_vlc_bandwidth,final_ma_snr,final_vlc_snr,final_ma_coverage_count,final_vlc_coverage_count,final_ma_power_efficiency,final_vlc_power_efficiency,final_avg_ma_bandwidth_per_user,final_avg_vlc_bandwidth_per_user,final_average_latency
2,500,33.32439999999998,0.1666219999999999,200,2533.2810595237233,1504.8569733120034,1028.424086211717,61692.3203125,33746.8046875,27945.517578125,506.9,108.0,398.9,4183.4000000000015,194.4000000000003,3989.0,177.40800000000002,142.9,30.0,17.13891425446444,158.475,14.29,0.04468841850757599,0.03679823016409769,1.8000000000000005,10.0,7.768652127253774
4,500,36.09530000000002,0.18047650000000012,200,2501.728552971504,1503.8645250240036,997.8640279474978,47617.1640625,21536.685546875,26080.4765625,443.32,108.0,335.32,3547.6000000000013,194.4000000000003,3353.2,177.291,138.65,30.0,16.99589095848077,150.315,13.865,0.07016463577747345,0.038256013896848226,1.8000000000000005,10.0,7.8578367695276095
6,500,35.234899999999996,0.17617449999999998,200,2450.5912480014244,1504.8569733120034,945.734274689418,57207.4609375,32212.640625,24994.814453125,554.26,108.0,446.26,4657.000000000001,194.4000000000003,4462.6,177.40800000000002,131.45,30.0,17.05210777999227,158.48,13.145,0.046732667833566666,0.037902215162320924,1.8000000000000005,10.0,7.844735622478184
8,500,37.05749999999998,0.1852874999999999,200,2445.6939761540116,1498.2915461760037,947.402429978005,42193.3046875,18063.986328125,24129.322265625,529.445,108.0,421.445,4408.850000000001,194.4000000000003,4214.45,176.63400000000001,131.7,30.0,17.070322699763647,140.895,13.17,0.0844985768198967,0.03923312922066791,1.8000000000000005,10.0,8.188581571455128
